Incident_ID,Date,Time,Location_ID,Device_ID,Incident_Type_ID,Outcome_ID,Victim_Age,Panic_Button_Used,Response_Time_Minutes,Weather,Witness_Count,Shift
INC00001,2025-08-02,03:01,L084,D002,IT004,RO001,35,Yes,5,Cloudy,5,Night
INC00002,2022-07-29,21:47,L096,D001,IT001,RO001,52,Yes,8,Sunny,0,Night
INC00003,2022-07-11,06:14,L013,D002,IT007,RO002,50,Yes,25,Foggy,1,Morning
INC00004,2024-07-08,18:17,L041,D001,IT007,RO002,18,Yes,16,Rainy,2,Evening
INC00005,2022-11-15,06:48,L046,D002,IT005,RO001,39,Yes,6,Foggy,0,Morning
INC00006,2024-01-06,11:38,L099,D001,IT006,RO001,34,Yes,9,Sunny,3,Morning
INC00007,2022-06-11,17:18,L004,D003,IT005,RO001,58,No,14,Sunny,5,Evening
INC00008,2023-04-12,09:05,L046,D001,IT002,RO002,32,No,11,Foggy,5,Morning
INC00009,2024-01-18,05:23,L054,D001,IT002,RO001,40,Yes,9,Sunny,4,Night
INC00010,2025-07-24,05:34,L028,D002,IT007,RO003,33,Yes,22,Rainy,5,Night
INC00011,2025-11-10,17:14,L058,D002,IT005,RO001,38,Yes,8,Sunny,2,Evening
INC00012,2024-04-01,08:04,L006,D003,IT003,RO002,31,No,14,Foggy,5,Morning
INC00013,2024-07-28,04:16,L016,D001,IT007,RO003,26,Yes,25,Foggy,4,Night
INC00014,2024-03-28,11:14,L043,D001,IT004,RO001,26,No,6,Sunny,0,Morning
INC00015,2022-11-10,20:10,L031,D003,IT001,RO002,45,Yes,20,Foggy,4,Evening
INC00016,2023-05-30,17:55,L009,D001,IT008,RO003,18,Yes,25,Rainy,0,Evening
INC00017,2023-08-25,13:10,L065,D001,IT003,RO002,47,Yes,16,Cloudy,4,Afternoon
INC00018,2022-08-06,20:19,L034,D002,IT007,RO002,58,Yes,12,Cloudy,4,Evening
INC00019,2024-12-22,00:38,L072,D003,IT005,RO001,38,No,5,Sunny,2,Night
INC00020,2023-09-22,07:03,L065,D002,IT001,RO001,33,No,6,Sunny,5,Morning
INC00021,2024-09-22,02:48,L079,D002,IT007,RO001,52,Yes,7,Foggy,4,Night
INC00022,2022-12-05,08:33,L062,D003,IT005,RO001,56,No,8,Cloudy,5,Morning
INC00023,2023-10-01,12:42,L016,D003,IT002,RO003,59,Yes,24,Sunny,1,Afternoon
INC00024,2023-04-06,02:21,L037,D002,IT004,RO001,19,Yes,15,Sunny,5,Night
INC00025,2025-07-16,01:14,L064,D001,IT008,RO002,22,Yes,18,Sunny,4,Night
INC00026,2023-05-03,08:42,L023,D002,IT004,RO002,49,Yes,25,Foggy,1,Morning
INC00027,2024-08-26,13:12,L087,D001,IT004,RO001,24,Yes,8,Rainy,3,Afternoon
INC00028,2024-04-21,14:55,L013,D002,IT006,RO001,21,Yes,11,Foggy,5,Afternoon
INC00029,2023-11-26,03:15,L037,D003,IT002,RO002,30,Yes,22,Foggy,1,Night
INC00030,2023-07-25,14:15,L066,D001,IT001,RO001,22,Yes,18,Sunny,5,Afternoon
INC00031,2025-01-12,00:05,L099,D003,IT004,RO001,33,Yes,8,Foggy,3,Night
INC00032,2023-03-14,12:57,L043,D003,IT001,RO001,21,Yes,5,Foggy,2,Afternoon
INC00033,2024-07-20,09:27,L002,D003,IT004,RO001,53,No,12,Rainy,1,Morning
INC00034,2022-04-30,18:47,L028,D001,IT002,RO001,52,Yes,18,Sunny,4,Evening
INC00035,2024-09-03,16:58,L095,D002,IT007,RO001,51,Yes,2,Sunny,1,Afternoon
INC00036,2022-05-21,19:04,L065,D003,IT002,RO001,33,No,14,Sunny,4,Evening
INC00037,2022-06-17,13:42,L046,D003,IT008,RO001,55,No,9,Cloudy,5,Afternoon
INC00038,2023-10-06,07:16,L060,D003,IT004,RO002,43,Yes,15,Foggy,2,Morning
INC00039,2022-05-29,00:29,L026,D001,IT005,RO001,57,Yes,10,Cloudy,4,Night
INC00040,2023-06-28,04:59,L021,D002,IT004,RO002,40,Yes,15,Rainy,1,Night
INC00041,2024-06-16,17:45,L005,D002,IT003,RO003,37,Yes,25,Sunny,1,Evening
INC00042,2023-06-26,03:56,L065,D002,IT002,RO001,24,No,7,Rainy,2,Night
INC00043,2025-05-23,06:45,L080,D001,IT003,RO002,39,Yes,15,Foggy,2,Morning
INC00044,2022-04-15,02:40,L086,D003,IT007,RO001,45,No,2,Sunny,2,Night
INC00045,2022-09-25,20:16,L017,D002,IT001,RO003,28,No,25,Sunny,0,Evening
INC00046,2022-06-04,22:57,L013,D003,IT001,RO001,27,Yes,19,Foggy,1,Night
INC00047,2022-03-27,09:23,L031,D003,IT007,RO001,20,No,14,Sunny,2,Morning
INC00048,2025-02-20,13:39,L036,D002,IT008,RO001,27,Yes,13,Foggy,0,Afternoon
INC00049,2023-01-03,23:59,L097,D001,IT005,RO001,39,No,5,Rainy,1,Night
INC00050,2025-12-07,03:24,L097,D002,IT001,RO001,20,No,5,Cloudy,3,Night
INC00051,2023-12-18,09:52,L037,D001,IT006,RO002,32,Yes,14,Rainy,2,Morning
INC00052,2022-05-23,08:22,L081,D001,IT004,RO001,59,No,10,Rainy,0,Morning
INC00053,2022-08-25,08:11,L024,D003,IT004,RO001,55,No,9,Sunny,4,Morning
INC00054,2024-06-08,11:46,L018,D003,IT001,RO002,38,Yes,24,Foggy,4,Morning
INC00055,2023-01-25,08:02,L071,D002,IT007,RO001,45,Yes,13,Rainy,3,Morning
INC00056,2022-05-24,21:58,L005,D001,IT004,RO002,39,No,11,Rainy,5,Night
INC00057,2024-04-16,10:25,L003,D002,IT003,RO002,36,Yes,14,Foggy,5,Morning
INC00058,2022-12-23,19:36,L078,D003,IT005,RO001,37,No,13,Rainy,2,Evening
INC00059,2023-03-07,13:50,L094,D001,IT002,RO001,55,No,7,Foggy,3,Afternoon
INC00060,2024-06-24,21:13,L012,D002,IT003,RO001,50,No,13,Rainy,4,Night
INC00061,2025-09-21,20:39,L022,D001,IT001,RO002,39,Yes,15,Cloudy,1,Evening
INC00062,2022-10-29,00:02,L026,D003,IT004,RO001,33,No,10,Foggy,3,Night
INC00063,2025-07-13,18:12,L072,D003,IT006,RO001,42,Yes,8,Cloudy,5,Evening
INC00064,2025-11-09,00:57,L038,D002,IT005,RO001,24,No,15,Foggy,0,Night
INC00065,2025-02-15,07:58,L039,D001,IT003,RO002,25,No,12,Rainy,3,Morning
INC00066,2025-06-08,23:57,L069,D002,IT001,RO002,50,Yes,13,Cloudy,5,Night
INC00067,2024-08-30,14:16,L096,D002,IT006,RO001,33,Yes,6,Foggy,5,Afternoon
INC00068,2023-05-05,08:28,L017,D002,IT002,RO002,22,No,15,Rainy,2,Morning
INC00069,2025-01-11,02:08,L052,D003,IT007,RO001,27,Yes,11,Cloudy,0,Night
INC00070,2024-04-29,13:21,L026,D002,IT004,RO002,52,No,21,Cloudy,3,Afternoon
INC00071,2024-03-08,18:44,L033,D003,IT004,RO002,19,No,23,Rainy,2,Evening
INC00072,2024-03-09,13:34,L083,D001,IT005,RO001,52,Yes,9,Cloudy,2,Afternoon
INC00073,2024-06-11,15:01,L026,D001,IT008,RO001,42,No,20,Foggy,1,Afternoon
INC00074,2025-06-28,17:01,L083,D001,IT003,RO001,43,Yes,3,Foggy,1,Evening
INC00075,2024-08-03,05:03,L060,D001,IT002,RO001,34,Yes,8,Foggy,2,Night
INC00076,2023-11-23,12:17,L049,D001,IT006,RO001,44,Yes,6,Foggy,0,Afternoon
INC00077,2025-01-09,01:22,L019,D001,IT008,RO001,32,Yes,9,Sunny,1,Night
INC00078,2023-02-13,00:39,L054,D001,IT004,RO001,27,Yes,7,Foggy,5,Night
INC00079,2022-08-23,18:13,L030,D003,IT002,RO001,47,No,19,Sunny,1,Evening
INC00080,2023-09-30,03:37,L073,D003,IT004,RO002,19,No,14,Foggy,5,Night
INC00081,2023-02-11,02:37,L074,D001,IT006,RO002,58,Yes,16,Sunny,4,Night
INC00082,2022-03-26,11:34,L047,D001,IT003,RO001,45,No,6,Rainy,0,Morning
INC00083,2024-05-10,15:06,L026,D001,IT003,RO002,45,No,22,Foggy,1,Afternoon
INC00084,2024-12-04,20:17,L074,D003,IT004,RO002,57,No,12,Rainy,2,Evening
INC00085,2023-05-18,02:17,L098,D001,IT002,RO001,46,Yes,9,Foggy,2,Night
INC00086,2022-02-28,15:54,L003,D002,IT003,RO002,38,Yes,23,Rainy,2,Afternoon
INC00087,2023-11-29,08:56,L084,D003,IT005,RO001,56,No,10,Sunny,4,Morning
INC00088,2023-01-27,02:15,L064,D002,IT002,RO001,44,No,17,Foggy,5,Night
INC00089,2025-12-28,15:28,L046,D001,IT002,RO001,19,Yes,8,Foggy,5,Afternoon
INC00090,2023-05-14,09:42,L098,D001,IT001,RO001,55,Yes,10,Rainy,3,Morning
INC00091,2025-02-01,10:22,L037,D003,IT001,RO001,47,Yes,16,Sunny,5,Morning
INC00092,2023-01-30,10:07,L023,D003,IT007,RO001,52,Yes,14,Foggy,2,Morning
INC00093,2025-04-22,16:38,L007,D001,IT005,RO002,36,Yes,14,Cloudy,2,Afternoon
INC00094,2023-01-03,09:00,L057,D002,IT006,RO001,52,Yes,5,Sunny,4,Morning
INC00095,2023-08-22,22:08,L020,D003,IT002,RO002,58,No,23,Sunny,4,Night
INC00096,2023-08-06,15:30,L068,D003,IT003,RO001,46,No,7,Sunny,2,Afternoon
INC00097,2024-09-05,03:52,L008,D003,IT002,RO001,22,No,10,Sunny,1,Night
INC00098,2022-11-02,18:19,L014,D002,IT002,RO002,23,No,11,Cloudy,4,Evening
INC00099,2024-02-19,14:58,L095,D001,IT004,RO001,46,No,8,Rainy,4,Afternoon
INC00100,2025-06-25,01:39,L015,D002,IT005,RO002,24,Yes,14,Sunny,1,Night
INC00101,2023-05-07,05:35,L100,D002,IT001,RO001,22,Yes,8,Foggy,5,Night
INC00102,2025-05-01,15:18,L088,D003,IT001,RO001,20,Yes,6,Foggy,0,Afternoon
INC00103,2025-11-08,07:59,L053,D003,IT006,RO001,34,Yes,15,Foggy,0,Morning
INC00104,2025-01-20,07:41,L059,D002,IT002,RO001,27,No,18,Sunny,0,Morning
INC00105,2022-12-06,09:38,L064,D001,IT006,RO001,54,Yes,12,Foggy,5,Morning
INC00106,2023-09-15,22:25,L022,D002,IT007,RO002,35,No,22,Sunny,3,Night
INC00107,2023-10-23,19:16,L100,D001,IT001,RO001,19,Yes,2,Rainy,4,Evening
