Infrastructure_ID,Location_ID,CCTV_Count,Streetlight_Count,Emergency_Poles,Patrol_Frequency
INF001,L001,60,164,8,High
INF002,L002,48,181,11,High
INF003,L003,44,163,9,High
INF004,L004,58,204,8,High
INF005,L005,40,161,11,High
INF006,L006,47,214,8,High
INF007,L007,57,175,14,High
INF008,L008,47,207,12,High
INF009,L009,40,170,14,High
INF010,L010,50,185,10,High
INF011,L011,46,193,9,High
INF012,L012,42,198,9,High
INF013,L013,51,194,12,High
INF014,L014,41,208,9,High
INF015,L015,52,160,12,High
INF016,L016,60,196,11,High
INF017,L017,42,155,11,High
INF018,L018,49,160,11,High
INF019,L019,43,198,12,High
INF020,L020,54,196,10,High
INF021,L021,51,195,11,High
INF022,L022,48,159,10,High
INF023,L023,57,181,10,High
INF024,L024,54,198,12,High
INF025,L025,60,178,13,High
INF026,L026,41,179,8,High
INF027,L027,50,201,12,High
INF028,L028,42,177,13,High
INF029,L029,46,213,14,High
INF030,L030,60,208,10,High
INF031,L031,48,167,11,High
INF032,L032,57,218,12,High
INF033,L033,58,204,14,High
INF034,L034,51,178,10,High
INF035,L035,56,213,9,High
INF036,L036,41,164,10,High
INF037,L037,60,170,14,High
INF038,L038,59,158,14,High
INF039,L039,52,209,12,High
INF040,L040,57,151,9,High
INF041,L041,37,114,6,Medium
INF042,L042,23,117,7,Medium
INF043,L043,25,138,4,Medium
INF044,L044,28,144,5,Medium
INF045,L045,36,93,6,Medium
INF046,L046,40,144,8,Medium
INF047,L047,26,99,6,Medium
INF048,L048,25,149,8,Medium
INF049,L049,20,121,7,Medium
INF050,L050,20,94,6,Medium
INF051,L051,29,110,4,Medium
INF052,L052,27,90,4,Medium
INF053,L053,35,88,8,Medium
INF054,L054,24,96,7,Medium
INF055,L055,37,101,6,Medium
INF056,L056,36,134,5,Medium
INF057,L057,37,105,6,Medium
INF058,L058,32,127,7,Medium
INF059,L059,36,137,4,Medium
INF060,L060,27,108,4,Medium
INF061,L061,30,82,8,Medium
INF062,L062,37,109,8,Medium
INF063,L063,27,80,4,Medium
INF064,L064,40,87,5,Medium
INF065,L065,22,84,6,Medium
INF066,L066,22,145,5,Medium
INF067,L067,28,142,5,Medium
INF068,L068,37,96,8,Medium
INF069,L069,38,140,5,Medium
INF070,L070,35,132,5,Medium
INF071,L071,23,92,7,Medium
INF072,L072,31,134,7,Medium
INF073,L073,34,86,4,Medium
INF074,L074,21,131,6,Medium
INF075,L075,23,111,5,Medium
INF076,L076,26,148,7,Medium
INF077,L077,24,134,5,Medium
INF078,L078,28,139,5,Medium
INF079,L079,22,136,8,Medium
INF080,L080,23,86,8,Medium
INF081,L081,5,35,2,Low
INF082,L082,10,56,4,Low
INF083,L083,20,43,4,Low
INF084,L084,6,40,4,Low
INF085,L085,5,54,3,Low
INF086,L086,19,48,4,Low
INF087,L087,20,39,2,Low
INF088,L088,14,43,1,Low
INF089,L089,6,77,3,Low
INF090,L090,6,33,4,Low
INF091,L091,10,33,1,Low
INF092,L092,10,34,1,Low
INF093,L093,12,55,1,Low
INF094,L094,12,67,1,Low
INF095,L095,7,56,3,Low
INF096,L096,13,43,3,Low
INF097,L097,12,46,4,Low
INF098,L098,9,72,3,Low
INF099,L099,19,50,1,Low
INF100,L100,5,59,1,Low
